DataFormatada,Ta (max)(ºC),Ta (med)(ºC),Ta (min)(ºC)
2003/07/24,31.48,24.6,19.01
2003/07/25,29.87,24.79,21.75
2003/07/26,30.81,24.27,20.08
2003/07/27,29.8,23.81,19.14
2003/07/28,30,23.74,18.06
2003/07/29,30.47,23.98,18.13
2003/07/30,31.21,24.01,17.12
2003/07/31,30.94,24.08,16.99
2003/08/01,31.21,24.49,18.8
2003/08/02,31.75,24.77,17.12
2003/08/03,30.68,24.42,18.4
2003/08/04,30.88,24.11,19.21
2003/08/05,31.55,24.62,17.66
2003/08/06,31.01,24.74,17.86
2003/08/07,32.49,24.85,17.93
2003/08/08,32.76,25.75,19.61
2003/08/09,32.22,25.39,18.27
2003/08/10,33.09,25.63,18.53
2003/08/11,31.35,25.29,20.08
2003/08/12,32.42,26.09,21.55
2003/08/13,32.56,25.54,19.21
2003/08/14,31.95,25.16,20.22
2003/08/15,33.16,26.01,19.01
2003/08/16,33.3,25.98,20.95
2003/08/17,35.65,27.34,19.61
2003/08/18,32.89,26.82,22.69
2003/08/19,32.29,25.22,19.74
2003/08/20,30.34,24.36,19.95
2003/08/21,31.15,24.31,19.41
2003/08/22,33.23,25.52,17.12
2003/08/23,32.56,25.69,19.95
2003/08/24,32.15,25.19,17.46
2003/08/25,33.43,26.51,21.02
2003/08/26,34.77,27.76,22.02
2003/08/27,34.71,27.81,21.02
2003/08/28,33.09,26.99,22.89
2003/08/29,34.17,26.6,20.28
2003/08/30,34.03,27.44,21.09
2003/08/31,33.56,26.71,20.28
2003/09/01,33.9,26.88,20.15
2003/09/02,32.35,25.98,19.74
2003/09/03,31.68,25.87,21.16
2003/09/04,31.55,25.3,20.48
2003/09/05,32.02,24.89,20.35
2003/09/06,30.2,24.02,20.75
2003/09/07,29.67,23.95,19.88
2003/09/08,33.23,25.26,17.86
2003/09/09,32.69,25.78,20.08
2003/09/10,33.09,26.17,20.01
2003/09/11,34.23,26.98,19.34
2003/09/12,34.17,27.02,20.15
2003/09/13,33.3,26.72,22.89
2003/09/14,34.03,27.12,20.35
2003/09/15,32.76,26.38,21.62
2003/09/16,null,null,null
2003/09/17,34.3,26.57,21.55
2003/09/18,34.44,27.36,21.58
2003/09/19,33.97,27.22,21.02
2003/09/20,33.83,27.16,19.88
2003/09/21,33.63,26.92,19.88
2003/09/22,33.5,26.14,20.2
2003/09/23,32.89,25.98,19.62
2003/09/24,33.96,26.07,19.14
2003/09/25,35.17,26.82,20.28
2003/09/26,36.24,28.1,20.82
2003/09/27,35.98,28.64,22.23
2003/09/28,37.72,30.22,23.3
2003/09/29,36.38,29.41,23.36
2003/09/30,35.97,29.01,23.16
2003/10/01,34.37,28.24,22.76
2003/10/02,34.3,27.68,22.29
2003/10/03,33.7,27.29,22.63
2003/10/04,34.1,27.46,21.29
2003/10/05,34.3,27.49,21.29
2003/10/06,34.5,27.25,20.55
2003/10/07,null,null,null
2003/10/08,34.72,28.03,21.31
2003/10/09,34.57,27.62,21.4
2003/10/10,34.77,27.49,21.62
2003/10/11,35.5,27.91,21.29
2003/10/12,36.84,28.98,21.36
2003/10/13,34.92,28.47,22.43
2003/10/14,34.43,27.57,20.62
2003/10/15,null,null,null
2003/10/16,29.87,24.17,20.15
2003/10/17,31.75,25.57,20.08
2003/10/18,32.02,25.7,20.21
2003/10/19,35.03,27.49,20.95
2003/10/20,35.23,27.99,22.49
2003/10/21,35.97,28.61,21.89
2003/10/22,36.78,29.35,21.42
2003/10/23,37.58,29.21,22.36
2003/10/24,34.77,31.08,26.11
2003/10/25,34.77,28.14,23.9
2003/10/26,34.29,27.78,22.29
2003/10/27,null,null,null
2003/10/28,null,null,null
2003/10/29,null,null,null
2003/10/30,null,null,null
2003/10/31,36.17,28.68,21.36
2003/11/01,35.1,28.23,22.02
2003/11/02,35.97,28.98,22.49
2003/11/03,35.24,28.54,24.3
2003/11/04,24.5,23.17,22.22
2003/11/05,28.86,24.61,21.08
2003/11/06,30.54,25.01,20.74
2003/11/07,31.82,27.54,24.37
2003/11/08,34.76,28.21,23.56
2003/11/09,35.17,29.09,24.03
2003/11/10,35.77,29.03,22.62
2003/11/11,35.84,28.28,21.95
2003/11/12,33.36,27.5,23.09
2003/11/13,34.24,27.55,21.89
2003/11/14,37.45,29.85,22.03
2003/11/15,34.97,28.71,23.09
2003/11/16,35.85,28.15,22.89
2003/11/17,34.97,27.8,23.63
2003/11/18,35.91,29.31,24.51
2003/11/19,36.18,28.49,21.49
2003/11/20,35.64,28.75,22.02
2003/11/21,35.11,28.79,22.69
2003/11/22,34.5,27.99,23.3
2003/11/23,34.3,27.25,21.36
2003/11/24,33.9,27.45,21.09
2003/11/25,35.77,28.72,21.96
2003/11/26,null,null,null
2003/11/27,null,null,null
2003/11/28,35.71,28.73,22.22
2003/11/29,34.64,28.29,22.69
2003/11/30,35.91,29.15,22.15
2003/12/01,35.84,28.84,22.56
2003/12/02,36.58,29.75,23.43
2003/12/03,37.32,30.28,23.63
2003/12/04,36.98,30.08,24.1
2003/12/05,37.05,29.72,23.3
2003/12/06,37.12,30.01,24.71
2003/12/07,37.85,30.45,23.56
2003/12/08,37.85,30.93,24.77
2003/12/09,37.45,30.77,23.9
2003/12/10,35.91,29.12,22.69
2003/12/11,36.04,29.55,24.51
2003/12/12,34.03,28.12,23.16
2003/12/13,36.57,29.37,22.22
2003/12/14,35.91,29.44,22.96
2003/12/15,36.51,29.77,23.9
2003/12/16,35.84,29.36,22.89
2003/12/17,35.17,28.92,22.89
2003/12/18,33.36,27.86,22.76
2003/12/19,34.9,29.02,23.36
2003/12/20,36.31,29.51,22.83
2003/12/21,36.24,29.45,22.56
2003/12/22,38.05,30.07,23.36
2003/12/23,37.38,30.54,24.51
2003/12/24,37.05,30.65,24.24
2003/12/25,36.17,29.81,23.77
2003/12/26,35.9,29.23,23.63
2003/12/27,33.09,27.55,23.3
2003/12/28,35.84,29.4,23.56
2003/12/29,32.02,26.48,20.15
2003/12/30,33.96,27.87,24.64
2003/12/31,33.9,27.85,22.36
2004/01/01,35.37,28.03,22.36
2004/01/02,36.78,29.69,23.83
2004/01/03,35.64,28.62,24.3
2004/01/04,34.64,28.59,23.97
2004/01/05,35.17,28.89,23.16
2004/01/06,35.17,28.47,22.49
2004/01/07,35.17,28.54,23.9
2004/01/08,35.84,29.12,23.43
2004/01/09,35.85,29.25,23.77
2004/01/10,33.3,28.59,23.09
2004/01/11,29.26,24.72,22.09
2004/01/12,32.69,26.43,23.09
2004/01/13,32.42,27.26,23.5
2004/01/14,26.85,23.29,21.76
2004/01/15,32.96,25.61,22.02
2004/01/16,32.82,26.18,22.49
2004/01/17,30.61,25.64,22.36
2004/01/18,25.71,23.53,21.62
2004/01/19,28.66,24.66,21.75
2004/01/20,27.52,23.22,21.76
2004/01/21,27.58,23.83,21.15
2004/01/22,30.47,24.39,20.69
2004/01/23,30.74,23.9,21.75
2004/01/24,29.2,24.34,21.82
2004/01/25,31.15,25.36,22.02
2004/01/26,30.68,25.48,20.88
2004/01/27,30.47,26.08,22.96
2004/01/28,31.41,25.05,21.21
2004/01/29,30.81,24.82,20.95
2004/01/30,30.61,24.61,20.82
2004/01/31,30.21,24.43,21.34
2004/02/01,30.47,25.27,21.42
2004/02/02,30.61,25.16,22.43
2004/02/03,30.68,24.9,19.88
2004/02/04,30.68,25.61,21.22
2004/02/05,31.49,26.17,22.43
2004/02/06,30.54,25.61,21.83
2004/02/07,32.63,26.62,21.83
2004/02/08,25.78,23.39,20.82
2004/02/09,32.22,24.86,21.56
2004/02/10,32.83,26.18,21.22
2004/02/11,31.69,25.81,20.62
2004/02/12,30.82,25.32,20.28
2004/02/13,31.02,25.39,21.22
2004/02/14,32.03,25.83,20.01
2004/02/15,32.3,26.44,22.97
2004/02/16,25.05,24.66,23.77
2004/02/17,31.29,26.22,22.1
2004/02/18,31.96,26.35,20.95
2004/02/19,32.03,26.01,20.82
2004/02/20,31.49,26.51,23.04
2004/02/21,31.69,26.2,22.63
2004/02/22,32.17,25.53,20.75
2004/02/23,31.43,25.37,20.75
2004/02/24,32.37,24.95,21.49
2004/02/25,28.81,24.29,20.01
2004/02/26,31.22,25.8,21.42
2004/02/27,32.9,26.7,22.57
2004/02/28,32.23,26.59,21.69
2004/02/29,24.92,23.14,21.63
2004/03/01,31.43,25.24,21.96
2004/03/02,30.75,25.25,20.95
2004/03/03,31.83,25.57,21.09
2004/03/04,31.16,25.23,21.16
2004/03/05,31.69,25.34,20.48
2004/03/06,31.36,25.17,20.55
2004/03/07,31.16,24.96,20.55
2004/03/08,30.15,24.63,20.69
2004/03/09,30.08,24.18,18.87
2004/03/10,31.02,25.54,20.48
2004/03/11,31.83,26.23,22.3
2004/03/12,32.97,26.86,22.16
2004/03/13,32.97,26.38,23.1
2004/03/14,31.29,25.39,21.09
2004/03/15,32.37,25.98,21.63
2004/03/16,32.23,26.31,21.69
2004/03/17,31.69,26.42,22.77
2004/03/18,30.08,24.99,21.96
2004/03/19,32.64,26.25,22.03
2004/03/20,31.69,25.72,20.75
2004/03/21,32.5,25.69,19.74
2004/03/22,32.84,26.71,22.16
2004/03/23,31.36,26.53,23.37
2004/03/24,31.36,25.94,23.1
2004/03/25,31.16,26.22,21.96
2004/03/26,32.5,25.98,20.89
2004/03/27,32.9,25.71,21.22
2004/03/28,32.57,26.11,21.42
2004/03/29,32.03,25.89,20.28
2004/03/30,31.76,25.03,19.48
2004/03/31,33.71,25.18,18.07
2004/04/01,33.84,26.21,21.29
2004/04/02,33.11,26.11,21.22
2004/04/03,32.97,25.38,20.69
2004/04/04,33.17,26.95,22.5
2004/04/05,32.84,27.2,23.51
2004/04/06,32.03,25.81,20.55
2004/04/07,34.18,26.5,21.16
2004/04/08,33.64,26.69,22.9
2004/04/09,31.36,25.91,22.97
2004/04/10,33.44,25.97,20.28
2004/04/11,34.18,27.02,21.9
2004/04/12,33.7,27.57,23.1
2004/04/13,34.51,27.66,22.57
2004/04/14,32.5,27.13,23.1
2004/04/15,33.64,26.18,20.35
2004/04/16,32.17,26.16,20.62
2004/04/17,32.97,26.24,21.22
2004/04/18,33.37,26.68,20.69
2004/04/19,30.22,25.36,21.56
2004/04/20,33.03,25.38,19.21
2004/04/21,33.23,26.33,18.47
2004/04/22,31.15,25.7,22.23
2004/04/23,32.09,25.26,19.41
2004/04/24,32.7,25.85,20.35
2004/04/25,34.5,27.32,22.57
2004/04/26,34.64,27.48,22.37
2004/04/27,34.64,27.28,22.16
2004/04/28,32.89,26.2,22.16
2004/04/29,30.28,25.23,22.97
2004/04/30,31.62,25.27,20.15
2004/05/01,32.16,25.59,20.82
2004/05/02,32.29,26.06,20.89
2004/05/03,31.96,24.62,16.79
2004/05/04,32.36,24.8,16.06
2004/05/05,31.36,25.52,20.95
2004/05/06,32.29,25.75,19.48
2004/05/07,31.69,25.34,21.42
2004/05/08,32.69,25.11,19.81
2004/05/09,33.9,25.6,18.67
2004/05/10,33.03,25.64,18.47
2004/05/11,32.36,24.92,18.2
2004/05/12,27.73,24.14,22.1
2004/05/13,29.61,23.87,21.76
2004/05/14,32.09,25.71,22.16
2004/05/15,32.76,25.83,20.42
