Tabela 6320 - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência - Total, coeficiente de variação, variações percentuais e absolutas em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do ano anterior, e média anual - por posição na ocupação e categoria do emprego no trabalho principal;;;;;;;
Variável - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (Mil pessoas);;;;;;;
Brasil;;;;;;;
Trimestre Móvel;Posição na ocupação e categoria do emprego no trabalho principal;;;;;;
;Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada;Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada;Trabalhador doméstico;Empregado no setor público;Empregador;Conta própria;Trabalhador familiar auxiliar
abr-mai-jun 2019;34430;11883;6080;11435;4308;23866;2156
mai-jun-jul 2019;34354;12042;6102;11497;4265;23952;2183
jun-jul-ago 2019;34299;12178;6116;11459;4284;24024;2150
jul-ago-set 2019;34342;12214;6116;11483;4308;24191;2083
ago-set-out 2019;34503;12252;6147;11471;4404;24196;2069
set-out-nov 2019;34701;12213;6182;11485;4433;24378;2018
out-nov-dez 2019;34953;12255;6171;11416;4393;24336;1991
nov-dez-jan 2020;35030;12053;6088;11297;4366;24349;1939
dez-jan-fev 2020;34930;12028;6038;11151;4361;24232;1935
jan-fev-mar 2020;34398;11429;5787;11389;4338;23873;1902
fev-mar-abr 2020;33546;10550;5335;11604;4153;23084;1863
mar-abr-mai 2020;32425;9634;4841;11889;3989;22096;1841
abr-mai-jun 2020;31484;9041;4525;11949;3885;21347;1821
mai-jun-jul 2020;30679;9119;4402;11693;3872;21107;1853
jun-jul-ago 2020;30499;9225;4360;11506;3841;21256;1904
jul-ago-set 2020;30856;9496;4417;11418;3798;21498;1956
ago-set-out 2020;31325;9980;4509;11549;3818;22141;1963
set-out-nov 2020;31580;10260;4580;11704;3856;22609;1985
out-nov-dez 2020;31592;10522;4665;11680;3848;22946;1972
nov-dez-jan 2021;31630;10334;4690;11577;3801;23182;2001
dez-jan-fev 2021;31612;10361;4689;11552;3782;23346;1944
jan-fev-mar 2021;31515;10244;4713;11409;3697;23560;1945
fev-mar-abr 2021;31587;10323;4704;11414;3704;23830;1914
mar-abr-mai 2021;31745;10358;4793;11536;3646;24123;1949
abr-mai-jun 2021;32098;10605;4906;11459;3719;24643;1955
mai-jun-jul 2021;32552;10918;5113;11438;3683;25000;1962
jun-jul-ago 2021;32894;11342;5294;11230;3739;25253;1973
jul-ago-set 2021;33508;11691;5357;11168;3802;25461;1991
ago-set-out 2021;33876;11956;5513;11152;3859;25638;1965
set-out-nov 2021;34224;12179;5609;11275;3866;25841;1936
out-nov-dez 2021;34495;12443;5697;11375;3874;25944;1919
nov-dez-jan 2022;34556;12383;5621;11362;4008;25576;1923
dez-jan-fev 2022;34596;12281;5663;11343;4068;25353;1930
jan-fev-mar 2022;34875;12216;5608;11262;4096;25283;1935
fev-mar-abr 2022;35247;12474;5769;11483;4118;25546;1875
mar-abr-mai 2022;35576;12804;5787;11616;4236;25656;1840
abr-mai-jun 2022;35782;13043;5856;11865;4237;25714;1772
mai-jun-jul 2022;35801;13075;5832;12027;4280;25873;1778
jun-jul-ago 2022;35975;13160;5851;12097;4304;25869;1759
jul-ago-set 2022;36265;13212;5889;12156;4352;25684;1712
ago-set-out 2022;36623;13372;5882;12306;4372;25410;1696
set-out-nov 2022;36791;13309;5864;12267;4331;25499;1631
out-nov-dez 2022;36858;13236;5833;12130;4248;25468;1596
nov-dez-jan 2023;36813;13108;5883;11809;4193;25299;1530
dez-jan-fev 2023;36812;12960;5778;11738;4125;25197;1512
jan-fev-mar 2023;36688;12806;5698;11785;4158;25193;1497
fev-mar-abr 2023;36807;12725;5694;11955;4114;25221;1515
mar-abr-mai 2023;36826;12933;5731;12064;4128;25219;1498
abr-mai-jun 2023;36773;13109;5847;12230;4170;25223;1557
mai-jun-jul 2023;36995;13227;5878;12259;4205;25265;1516
jun-jul-ago 2023;37212;13201;5888;12232;4211;25395;1516
