Paises;Participacao
Holanda;47.69
Espanha;34.09
Portugal;7.82
Reino Unido;4.67
Chile;2.32
Argentina;1.48
Estados Unidos;0.50
Itália;0.43
Canadá;0.41
Outros;0.61
