Paises;Participacao
Holanda;47.32
Espanha;32.59
Portugal;7.94
Reino Unido;4.88
Chile;2.30
Argentina;1.97
Estados Unidos;0.78
Canadá;0.68
Itália;0.39
Emirados Arabes;0.33
Outros;0.81
