Ano;Valor FOB (US$);Quilograma Liquido
2004;116534;143754
2005;326655;253621
2006;353475;212289
2007;458696;223593
2008;418123;219586
2009;297764;152972
2010;326364;147348
2011;300067;137455
2012;275502;119705
2013;393685;143945
2014;443961;170776
2015;498963;203936
2016;398798;172099
2017;344474;142691
2018;402286;166700
2019;436707;198222
2020;537478;237993
2021;1012494;450636
2022;1180933;504246
2023;1205669;473929
