Paises;Participacao
Holanda;48.35
Espanha;31.96
Portugal;7.49
Reino Unido;4.97
Chile;2.50
Argentina;1.87
Estados Unidos;0.67
Canadá;0.64
Itália;0.36
Uruguai;0.30
Outros;0.88
