Ano;Valor (Mil US$);Toneladas
2012;137499.521;126917.269
2013;147401.865;121942.762
2014;163727.732;133033.24
2015;184307.547;156313.876
2016;179932.175;154211.053
2017;205111.206;179601.174
2018;178822.058;170463.417
2019;221801.211;215833.628
2020;247417.201;243225.863
2021;248738.685;272560.167
2022;205916.948;231364.426
2023;82752.275;85161.445
